group_id,input_time,file_t0,file_t3,file_t10,file_t13,target_0h_file,label_0h,dbz_0h,target_1h_file,label_1h,dbz_1h,target_2h_file,label_2h,dbz_2h,target_3h_file,label_3h,dbz_3h,target_0h,target_0h_mode,target_0h_diff_sec,target_1h,target_1h_mode,target_1h_diff_sec,target_2h,target_2h_mode,target_2h_diff_sec,target_3h,target_3h_mode,target_3h_diff_sec
0,2025-08-01 00:00:07,NHB250801000007.RAWLTHU,NHB250801000303.RAWLTHY,NHB250801001007.RAWLTJ1,NHB250801001304.RAWLTJ5,NHB250801000007.RAWLTHU,Clear,26.2,NHB250801010009.RAWLTK3,Clear,28.14,NHB250801020008.RAWLTLC,Light rain,30.36,NHB250801030007.RAWLTMM,Clear,28.38,2025-08-01 00:00:07,Long Range,0.0,2025-08-01 01:00:09,Long Range,2.0,2025-08-01 02:00:08,Long Range,1.0,2025-08-01 03:00:07,Long Range,0.0
1,2025-08-01 00:20:08,NHB250801002008.RAWLTJ8,NHB250801002303.RAWLTJC,NHB250801003008.RAWLTJF,NHB250801003305.RAWLTJK,NHB250801002008.RAWLTJ8,Clear,28.46,NHB250801012008.RAWLTKH,Clear,29.14,NHB250801022007.RAWLTLT,Clear,29.43,NHB250801032008.RAWLTN2,Clear,28.59,2025-08-01 00:20:08,Long Range,0.0,2025-08-01 01:20:08,Long Range,0.0,2025-08-01 02:20:07,Long Range,1.0,2025-08-01 03:20:08,Long Range,0.0
2,2025-08-01 00:40:07,NHB250801004007.RAWLTJN,NHB250801004304.RAWLTJT,NHB250801005007.RAWLTJW,NHB250801005305.RAWLTK0,NHB250801004007.RAWLTJN,Clear,28.87,NHB250801014008.RAWLTKY,Clear,29.72,NHB250801024008.RAWLTM7,Clear,28.5,NHB250801034007.RAWLTNG,Clear,28.18,2025-08-01 00:40:07,Long Range,0.0,2025-08-01 01:40:08,Long Range,1.0,2025-08-01 02:40:08,Long Range,1.0,2025-08-01 03:40:07,Long Range,0.0
3,2025-08-01 01:00:09,NHB250801010009.RAWLTK3,NHB250801010304.RAWLTK7,NHB250801011008.RAWLTKA,NHB250801011304.RAWLTKE,NHB250801010009.RAWLTK3,Clear,28.14,NHB250801020008.RAWLTLC,Light rain,30.36,NHB250801030007.RAWLTMM,Clear,28.38,NHB250801040008.RAWLTNX,Light rain,32.66,2025-08-01 01:00:09,Long Range,0.0,2025-08-01 02:00:08,Long Range,1.0,2025-08-01 03:00:07,Long Range,2.0,2025-08-01 04:00:08,Long Range,1.0
4,2025-08-01 01:20:08,NHB250801012008.RAWLTKH,NHB250801012304.RAWLTKM,NHB250801013008.RAWLTKR,NHB250801013304.RAWLTKV,NHB250801012008.RAWLTKH,Clear,29.14,NHB250801022007.RAWLTLT,Clear,29.43,NHB250801032008.RAWLTN2,Clear,28.59,NHB250801042008.RAWLTPB,Light rain,30.94,2025-08-01 01:20:08,Long Range,0.0,2025-08-01 02:20:07,Long Range,1.0,2025-08-01 03:20:08,Long Range,0.0,2025-08-01 04:20:08,Long Range,0.0
5,2025-08-01 01:40:08,NHB250801014008.RAWLTKY,NHB250801014305.RAWLTL2,NHB250801015008.RAWLTL5,NHB250801015303.RAWLTL9,NHB250801014008.RAWLTKY,Clear,29.72,NHB250801024008.RAWLTM7,Clear,28.5,NHB250801034007.RAWLTNG,Clear,28.18,NHB250801044008.RAWLTPS,Light rain,30.02,2025-08-01 01:40:08,Long Range,0.0,2025-08-01 02:40:08,Long Range,0.0,2025-08-01 03:40:07,Long Range,1.0,2025-08-01 04:40:08,Long Range,0.0
6,2025-08-01 02:00:08,NHB250801020008.RAWLTLC,NHB250801020304.RAWLTLG,NHB250801021008.RAWLTLK,NHB250801021304.RAWLTLP,NHB250801020008.RAWLTLC,Light rain,30.36,NHB250801030007.RAWLTMM,Clear,28.38,NHB250801040008.RAWLTNX,Light rain,32.66,NHB250801050008.RAWLTR6,Clear,28.51,2025-08-01 02:00:08,Long Range,0.0,2025-08-01 03:00:07,Long Range,1.0,2025-08-01 04:00:08,Long Range,0.0,2025-08-01 05:00:08,Long Range,0.0
7,2025-08-01 02:20:07,NHB250801022007.RAWLTLT,NHB250801022304.RAWLTLX,NHB250801023009.RAWLTM0,NHB250801023303.RAWLTM4,NHB250801022007.RAWLTLT,Clear,29.43,NHB250801032008.RAWLTN2,Clear,28.59,NHB250801042008.RAWLTPB,Light rain,30.94,NHB250801052008.RAWLTRL,Light rain,31.52,2025-08-01 02:20:07,Long Range,0.0,2025-08-01 03:20:08,Long Range,1.0,2025-08-01 04:20:08,Long Range,1.0,2025-08-01 05:20:08,Long Range,1.0
8,2025-08-01 02:40:08,NHB250801024008.RAWLTM7,NHB250801024303.RAWLTMB,NHB250801025008.RAWLTME,NHB250801025304.RAWLTMJ,NHB250801024008.RAWLTM7,Clear,28.5,NHB250801034007.RAWLTNG,Clear,28.18,NHB250801044008.RAWLTPS,Light rain,30.02,NHB250801054008.RAWLTS1,Light rain,34.66,2025-08-01 02:40:08,Long Range,0.0,2025-08-01 03:40:07,Long Range,1.0,2025-08-01 04:40:08,Long Range,0.0,2025-08-01 05:40:08,Long Range,0.0
9,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,NHB250801030304.RAWLTMS,NHB250801031008.RAWLTMV,NHB250801031303.RAWLTMZ,NHB250801030007.RAWLTMM,Clear,28.38,NHB250801040008.RAWLTNX,Light rain,32.66,NHB250801050008.RAWLTR6,Clear,28.51,NHB250801060008.RAWLTSF,Light rain,33.02,2025-08-01 03:00:07,Long Range,0.0,2025-08-01 04:00:08,Long Range,1.0,2025-08-01 05:00:08,Long Range,1.0,2025-08-01 06:00:08,Long Range,1.0
