timestamp,filename,mode,sweeps,rays,gates,gate_spacing_m,max_range_km
2025-08-01 00:00:07,NHB250801000007.RAWLTHU,Long Range,4,1388,500,600.0,299.4
2025-08-01 00:03:03,NHB250801000303.RAWLTHY,Short Range,8,2832,500,240.0,119.76
2025-08-01 00:10:07,NHB250801001007.RAWLTJ1,Long Range,4,1394,500,600.0,299.4
2025-08-01 00:13:04,NHB250801001304.RAWLTJ5,Short Range,8,2829,500,240.0,119.76
2025-08-01 00:20:08,NHB250801002008.RAWLTJ8,Long Range,4,1389,500,600.0,299.4
2025-08-01 00:23:03,NHB250801002303.RAWLTJC,Short Range,8,2829,500,240.0,119.76
2025-08-01 00:30:08,NHB250801003008.RAWLTJF,Long Range,4,1388,500,600.0,299.4
2025-08-01 00:33:05,NHB250801003305.RAWLTJK,Short Range,8,2828,500,240.0,119.76
2025-08-01 00:40:07,NHB250801004007.RAWLTJN,Long Range,4,1388,500,600.0,299.4
2025-08-01 00:43:04,NHB250801004304.RAWLTJT,Short Range,8,2829,500,240.0,119.76
2025-08-01 00:50:07,NHB250801005007.RAWLTJW,Long Range,4,1389,500,600.0,299.4
2025-08-01 00:53:05,NHB250801005305.RAWLTK0,Short Range,8,2828,500,240.0,119.76
2025-08-01 01:00:09,NHB250801010009.RAWLTK3,Long Range,4,1388,500,600.0,299.4
2025-08-01 01:03:04,NHB250801010304.RAWLTK7,Short Range,8,2829,500,240.0,119.76
2025-08-01 01:10:08,NHB250801011008.RAWLTKA,Long Range,4,1386,500,600.0,299.4
2025-08-01 01:13:04,NHB250801011304.RAWLTKE,Short Range,8,2828,500,240.0,119.76
2025-08-01 01:20:08,NHB250801012008.RAWLTKH,Long Range,4,1389,500,600.0,299.4
2025-08-01 01:23:04,NHB250801012304.RAWLTKM,Short Range,8,2828,500,240.0,119.76
2025-08-01 01:30:08,NHB250801013008.RAWLTKR,Long Range,4,1389,500,600.0,299.4
2025-08-01 01:33:04,NHB250801013304.RAWLTKV,Short Range,8,2828,500,240.0,119.76
2025-08-01 01:40:08,NHB250801014008.RAWLTKY,Long Range,4,1387,500,600.0,299.4
2025-08-01 01:43:05,NHB250801014305.RAWLTL2,Short Range,8,2828,500,240.0,119.76
2025-08-01 01:50:08,NHB250801015008.RAWLTL5,Long Range,4,1388,500,600.0,299.4
2025-08-01 01:53:03,NHB250801015303.RAWLTL9,Short Range,8,2829,500,240.0,119.76
2025-08-01 02:00:08,NHB250801020008.RAWLTLC,Long Range,4,1387,500,600.0,299.4
2025-08-01 02:03:04,NHB250801020304.RAWLTLG,Short Range,8,2829,500,240.0,119.76
2025-08-01 02:10:08,NHB250801021008.RAWLTLK,Long Range,4,1388,500,600.0,299.4
2025-08-01 02:13:04,NHB250801021304.RAWLTLP,Short Range,8,2828,500,240.0,119.76
2025-08-01 02:20:07,NHB250801022007.RAWLTLT,Long Range,4,1388,500,600.0,299.4
2025-08-01 02:23:04,NHB250801022304.RAWLTLX,Short Range,8,2829,500,240.0,119.76
2025-08-01 02:30:09,NHB250801023009.RAWLTM0,Long Range,4,1389,500,600.0,299.4
2025-08-01 02:33:03,NHB250801023303.RAWLTM4,Short Range,8,2829,500,240.0,119.76
2025-08-01 02:40:08,NHB250801024008.RAWLTM7,Long Range,4,1389,500,600.0,299.4
2025-08-01 02:43:03,NHB250801024303.RAWLTMB,Short Range,8,2831,500,240.0,119.76
2025-08-01 02:50:08,NHB250801025008.RAWLTME,Long Range,4,1396,500,600.0,299.4
2025-08-01 02:53:04,NHB250801025304.RAWLTMJ,Short Range,8,2829,500,240.0,119.76
2025-08-01 03:00:07,NHB250801030007.RAWLTMM,Long Range,4,1389,500,600.0,299.4
2025-08-01 03:03:04,NHB250801030304.RAWLTMS,Short Range,8,2829,500,240.0,119.76
2025-08-01 03:10:08,NHB250801031008.RAWLTMV,Long Range,4,1388,500,600.0,299.4
2025-08-01 03:13:03,NHB250801031303.RAWLTMZ,Short Range,8,2829,500,240.0,119.76
2025-08-01 03:20:08,NHB250801032008.RAWLTN2,Long Range,4,1389,500,600.0,299.4
2025-08-01 03:23:03,NHB250801032303.RAWLTN6,Short Range,8,2829,500,240.0,119.76
2025-08-01 03:30:08,NHB250801033008.RAWLTN9,Long Range,4,1387,500,600.0,299.4
2025-08-01 03:33:04,NHB250801033304.RAWLTND,Short Range,8,2830,500,240.0,119.76
2025-08-01 03:40:07,NHB250801034007.RAWLTNG,Long Range,4,1391,500,600.0,299.4
2025-08-01 03:43:03,NHB250801034303.RAWLTNL,Short Range,8,2826,500,240.0,119.76
2025-08-01 03:50:07,NHB250801035007.RAWLTNP,Long Range,4,1387,500,600.0,299.4
2025-08-01 03:53:05,NHB250801035305.RAWLTNU,Short Range,8,2828,500,240.0,119.76
2025-08-01 04:00:08,NHB250801040008.RAWLTNX,Long Range,4,1389,500,600.0,299.4
2025-08-01 04:03:04,NHB250801040304.RAWLTP1,Short Range,8,2827,500,240.0,119.76
2025-08-01 04:10:07,NHB250801041007.RAWLTP4,Long Range,4,1388,500,600.0,299.4
2025-08-01 04:13:03,NHB250801041303.RAWLTP8,Short Range,8,2828,500,240.0,119.76
2025-08-01 04:20:08,NHB250801042008.RAWLTPB,Long Range,4,1388,500,600.0,299.4
2025-08-01 04:23:04,NHB250801042304.RAWLTPF,Short Range,8,2828,500,240.0,119.76
2025-08-01 04:30:08,NHB250801043008.RAWLTPJ,Long Range,4,1387,500,600.0,299.4
2025-08-01 04:33:03,NHB250801043303.RAWLTPN,Short Range,8,2829,500,240.0,119.76
2025-08-01 04:40:08,NHB250801044008.RAWLTPS,Long Range,4,1389,500,600.0,299.4
2025-08-01 04:43:04,NHB250801044304.RAWLTPW,Short Range,8,2828,500,240.0,119.76
2025-08-01 04:50:08,NHB250801045008.RAWLTPZ,Long Range,4,1389,500,600.0,299.4
2025-08-01 04:53:03,NHB250801045303.RAWLTR3,Short Range,8,2831,500,240.0,119.76
2025-08-01 05:00:08,NHB250801050008.RAWLTR6,Long Range,4,1392,500,600.0,299.4
2025-08-01 05:03:03,NHB250801050303.RAWLTRA,Short Range,8,2828,500,240.0,119.76
2025-08-01 05:10:07,NHB250801051007.RAWLTRD,Long Range,4,1388,500,600.0,299.4
2025-08-01 05:13:03,NHB250801051303.RAWLTRH,Short Range,8,2828,500,240.0,119.76
2025-08-01 05:20:08,NHB250801052008.RAWLTRL,Long Range,4,1389,500,600.0,299.4
2025-08-01 05:23:03,NHB250801052303.RAWLTRR,Short Range,8,2831,500,240.0,119.76
2025-08-01 05:30:08,NHB250801053008.RAWLTRU,Long Range,4,1389,500,600.0,299.4
2025-08-01 05:33:03,NHB250801053303.RAWLTRY,Short Range,8,2827,500,240.0,119.76
2025-08-01 05:40:08,NHB250801054008.RAWLTS1,Long Range,4,1388,500,600.0,299.4
2025-08-01 05:43:03,NHB250801054303.RAWLTS5,Short Range,8,2827,500,240.0,119.76
2025-08-01 05:50:08,NHB250801055008.RAWLTS8,Long Range,4,1388,500,600.0,299.4
2025-08-01 05:53:03,NHB250801055303.RAWLTSC,Short Range,8,2828,500,240.0,119.76
2025-08-01 06:00:08,NHB250801060008.RAWLTSF,Long Range,4,1393,500,600.0,299.4
2025-08-01 06:03:03,NHB250801060303.RAWLTSK,Short Range,8,2829,500,240.0,119.76
2025-08-01 06:10:08,NHB250801061008.RAWLTSN,Long Range,4,1389,500,600.0,299.4
2025-08-01 06:13:03,NHB250801061303.RAWLTST,Short Range,8,2829,500,240.0,119.76
2025-08-01 06:20:08,NHB250801062008.RAWLTSW,Long Range,4,1388,500,600.0,299.4
2025-08-01 06:23:03,NHB250801062303.RAWLTT0,Short Range,8,2829,500,240.0,119.76
2025-08-01 06:30:07,NHB250801063007.RAWLTT3,Long Range,4,1388,500,600.0,299.4
2025-08-01 06:33:04,NHB250801063304.RAWLTT7,Short Range,8,2827,500,240.0,119.76
2025-08-01 06:40:08,NHB250801064008.RAWLTTA,Long Range,4,1387,500,600.0,299.4
2025-08-01 06:43:03,NHB250801064303.RAWLTTE,Short Range,8,2832,500,240.0,119.76
2025-08-01 06:50:08,NHB250801065008.RAWLTTH,Long Range,4,1387,500,600.0,299.4
2025-08-01 06:53:03,NHB250801065303.RAWLTTM,Short Range,8,2829,500,240.0,119.76
2025-08-01 07:00:08,NHB250801070008.RAWLTTR,Long Range,4,1387,500,600.0,299.4
2025-08-01 07:03:04,NHB250801070304.RAWLTTV,Short Range,8,2829,500,240.0,119.76
2025-08-01 07:10:07,NHB250801071007.RAWLTTY,Long Range,4,1388,500,600.0,299.4
2025-08-01 07:13:03,NHB250801071303.RAWLTU2,Short Range,8,2827,500,240.0,119.76
2025-08-01 07:20:08,NHB250801072008.RAWLTU5,Long Range,4,1388,500,600.0,299.4
2025-08-01 07:23:03,NHB250801072303.RAWLTU9,Short Range,8,2829,500,240.0,119.76
2025-08-01 07:30:08,NHB250801073008.RAWLTUC,Long Range,4,1389,500,600.0,299.4
2025-08-01 07:33:03,NHB250801073303.RAWLTUG,Short Range,8,2829,500,240.0,119.76
2025-08-01 07:40:08,NHB250801074008.RAWLTUK,Long Range,4,1388,500,600.0,299.4
2025-08-01 07:43:04,NHB250801074304.RAWLTUP,Short Range,8,2829,500,240.0,119.76
2025-08-01 07:50:08,NHB250801075008.RAWLTUT,Long Range,4,1389,500,600.0,299.4
2025-08-01 07:53:04,NHB250801075304.RAWLTUX,Short Range,8,2829,500,240.0,119.76
2025-08-01 08:00:08,NHB250801080008.RAWLTV0,Long Range,4,1389,500,600.0,299.4
2025-08-01 08:03:03,NHB250801080303.RAWLTV4,Short Range,8,2833,500,240.0,119.76
2025-08-01 08:10:08,NHB250801081008.RAWLTV7,Long Range,4,1389,500,600.0,299.4
2025-08-01 08:13:04,NHB250801081304.RAWLTVB,Short Range,8,2829,500,240.0,119.76
2025-08-01 08:20:07,NHB250801082007.RAWLTVE,Long Range,4,1389,500,600.0,299.4
2025-08-01 08:23:04,NHB250801082304.RAWLTVJ,Short Range,8,2829,500,240.0,119.76
2025-08-01 08:30:08,NHB250801083008.RAWLTVM,Long Range,4,1388,500,600.0,299.4
2025-08-01 08:33:04,NHB250801083304.RAWLTVS,Short Range,8,2827,500,240.0,119.76
2025-08-01 08:40:08,NHB250801084008.RAWLTVV,Long Range,4,1387,500,600.0,299.4
2025-08-01 08:43:03,NHB250801084303.RAWLTVZ,Short Range,8,2826,500,240.0,119.76
2025-08-01 08:50:08,NHB250801085008.RAWLTW2,Long Range,4,1388,500,600.0,299.4
2025-08-01 08:53:03,NHB250801085303.RAWLTW6,Short Range,8,2830,500,240.0,119.76
2025-08-01 09:00:07,NHB250801090007.RAWLTW9,Long Range,4,1391,500,600.0,299.4
2025-08-01 09:03:03,NHB250801090303.RAWLTWD,Short Range,8,2829,500,240.0,119.76
2025-08-01 09:10:08,NHB250801091008.RAWLTWG,Long Range,4,1389,500,600.0,299.4
2025-08-01 09:13:04,NHB250801091304.RAWLTWL,Short Range,8,2828,500,240.0,119.76
2025-08-01 09:20:08,NHB250801092008.RAWLTWP,Long Range,4,1389,500,600.0,299.4
2025-08-01 09:23:03,NHB250801092303.RAWLTWU,Short Range,8,2829,500,240.0,119.76
2025-08-01 09:30:08,NHB250801093008.RAWLTWX,Long Range,4,1389,500,600.0,299.4
2025-08-01 09:33:03,NHB250801093303.RAWLTX1,Short Range,8,2828,500,240.0,119.76
2025-08-01 09:40:07,NHB250801094007.RAWLTX4,Long Range,4,1388,500,600.0,299.4
2025-08-01 09:43:04,NHB250801094304.RAWLTX8,Short Range,8,2829,500,240.0,119.76
2025-08-01 09:50:08,NHB250801095008.RAWLTXB,Long Range,4,1388,500,600.0,299.4
2025-08-01 09:53:03,NHB250801095303.RAWLTXF,Short Range,8,2827,500,240.0,119.76
2025-08-01 10:00:08,NHB250801100008.RAWLTXJ,Long Range,4,1388,500,600.0,299.4
2025-08-01 10:03:04,NHB250801100304.RAWLTXN,Short Range,8,2829,500,240.0,119.76
2025-08-01 10:10:08,NHB250801101008.RAWLTXS,Long Range,4,1389,500,600.0,299.4
2025-08-01 10:13:04,NHB250801101304.RAWLTXW,Short Range,8,2828,500,240.0,119.76
2025-08-01 10:20:08,NHB250801102008.RAWLTXZ,Long Range,4,1387,500,600.0,299.4
2025-08-01 10:23:03,NHB250801102303.RAWLTY3,Short Range,8,2829,500,240.0,119.76
2025-08-01 10:30:08,NHB250801103008.RAWLTY6,Long Range,4,1388,500,600.0,299.4
2025-08-01 10:33:05,NHB250801103305.RAWLTYA,Short Range,8,2829,500,240.0,119.76
2025-08-01 10:40:08,NHB250801104008.RAWLTYD,Long Range,4,1389,500,600.0,299.4
2025-08-01 10:43:03,NHB250801104303.RAWLTYH,Short Range,8,2829,500,240.0,119.76
2025-08-01 10:50:07,NHB250801105007.RAWLTYL,Long Range,4,1389,500,600.0,299.4
2025-08-01 10:53:04,NHB250801105304.RAWLTYR,Short Range,8,2829,500,240.0,119.76
2025-08-01 11:00:08,NHB250801110008.RAWLTYU,Long Range,4,1388,500,600.0,299.4
2025-08-01 11:03:04,NHB250801110304.RAWLTYY,Short Range,8,2833,500,240.0,119.76
2025-08-01 11:10:07,NHB250801111007.RAWLTZ1,Long Range,4,1395,500,600.0,299.4
2025-08-01 11:13:05,NHB250801111305.RAWLTZ5,Short Range,8,2828,500,240.0,119.76
