filename,timestamp,mode,nsweeps,weighted_dbz,weather_class
NHB250801000007.RAWLTHU,2025-08-01 00:00:07,Long Range,4,26.2,Clear
NHB250801000303.RAWLTHY,2025-08-01 00:03:03,Short Range,8,26.23,Clear
NHB250801001007.RAWLTJ1,2025-08-01 00:10:07,Long Range,4,26.78,Clear
NHB250801001304.RAWLTJ5,2025-08-01 00:13:04,Short Range,8,28.87,Clear
NHB250801002008.RAWLTJ8,2025-08-01 00:20:08,Long Range,4,28.46,Clear
NHB250801002303.RAWLTJC,2025-08-01 00:23:03,Short Range,8,28.49,Clear
NHB250801003008.RAWLTJF,2025-08-01 00:30:08,Long Range,4,28.45,Clear
NHB250801003305.RAWLTJK,2025-08-01 00:33:05,Short Range,8,29.35,Clear
NHB250801004007.RAWLTJN,2025-08-01 00:40:07,Long Range,4,28.87,Clear
NHB250801004304.RAWLTJT,2025-08-01 00:43:04,Short Range,8,29.77,Clear
NHB250801005007.RAWLTJW,2025-08-01 00:50:07,Long Range,4,28.34,Clear
NHB250801005305.RAWLTK0,2025-08-01 00:53:05,Short Range,8,30.31,Light rain
NHB250801010009.RAWLTK3,2025-08-01 01:00:09,Long Range,4,28.14,Clear
NHB250801010304.RAWLTK7,2025-08-01 01:03:04,Short Range,8,31.12,Light rain
NHB250801011008.RAWLTKA,2025-08-01 01:10:08,Long Range,4,29.62,Clear
NHB250801011304.RAWLTKE,2025-08-01 01:13:04,Short Range,8,30.13,Light rain
NHB250801012008.RAWLTKH,2025-08-01 01:20:08,Long Range,4,29.14,Clear
NHB250801012304.RAWLTKM,2025-08-01 01:23:04,Short Range,8,29.66,Clear
NHB250801013008.RAWLTKR,2025-08-01 01:30:08,Long Range,4,29.94,Clear
NHB250801013304.RAWLTKV,2025-08-01 01:33:04,Short Range,8,30.96,Light rain
NHB250801014008.RAWLTKY,2025-08-01 01:40:08,Long Range,4,29.72,Clear
NHB250801014305.RAWLTL2,2025-08-01 01:43:05,Short Range,8,30.93,Light rain
NHB250801015008.RAWLTL5,2025-08-01 01:50:08,Long Range,4,29.15,Clear
NHB250801015303.RAWLTL9,2025-08-01 01:53:03,Short Range,8,30.82,Light rain
NHB250801020008.RAWLTLC,2025-08-01 02:00:08,Long Range,4,30.36,Light rain
NHB250801020304.RAWLTLG,2025-08-01 02:03:04,Short Range,8,30.03,Light rain
NHB250801021008.RAWLTLK,2025-08-01 02:10:08,Long Range,4,30.63,Light rain
NHB250801021304.RAWLTLP,2025-08-01 02:13:04,Short Range,8,30.95,Light rain
NHB250801022007.RAWLTLT,2025-08-01 02:20:07,Long Range,4,29.43,Clear
NHB250801022304.RAWLTLX,2025-08-01 02:23:04,Short Range,8,31.5,Light rain
NHB250801023009.RAWLTM0,2025-08-01 02:30:09,Long Range,4,30.63,Light rain
NHB250801023303.RAWLTM4,2025-08-01 02:33:03,Short Range,8,29.46,Clear
NHB250801024008.RAWLTM7,2025-08-01 02:40:08,Long Range,4,28.5,Clear
NHB250801024303.RAWLTMB,2025-08-01 02:43:03,Short Range,8,29.78,Clear
NHB250801025008.RAWLTME,2025-08-01 02:50:08,Long Range,4,28.93,Clear
NHB250801025304.RAWLTMJ,2025-08-01 02:53:04,Short Range,8,28.34,Clear
NHB250801030007.RAWLTMM,2025-08-01 03:00:07,Long Range,4,28.38,Clear
NHB250801030304.RAWLTMS,2025-08-01 03:03:04,Short Range,8,28.32,Clear
NHB250801031008.RAWLTMV,2025-08-01 03:10:08,Long Range,4,28.63,Clear
NHB250801031303.RAWLTMZ,2025-08-01 03:13:03,Short Range,8,28.71,Clear
NHB250801032008.RAWLTN2,2025-08-01 03:20:08,Long Range,4,28.59,Clear
NHB250801032303.RAWLTN6,2025-08-01 03:23:03,Short Range,8,28.25,Clear
NHB250801033008.RAWLTN9,2025-08-01 03:30:08,Long Range,4,28.79,Clear
NHB250801033304.RAWLTND,2025-08-01 03:33:04,Short Range,8,27.18,Clear
NHB250801034007.RAWLTNG,2025-08-01 03:40:07,Long Range,4,28.18,Clear
NHB250801034303.RAWLTNL,2025-08-01 03:43:03,Short Range,8,29.05,Clear
NHB250801035007.RAWLTNP,2025-08-01 03:50:07,Long Range,4,32.25,Light rain
NHB250801035305.RAWLTNU,2025-08-01 03:53:05,Short Range,8,32.61,Light rain
NHB250801040008.RAWLTNX,2025-08-01 04:00:08,Long Range,4,32.66,Light rain
NHB250801040304.RAWLTP1,2025-08-01 04:03:04,Short Range,8,32.32,Light rain
NHB250801041007.RAWLTP4,2025-08-01 04:10:07,Long Range,4,30.52,Light rain
NHB250801041303.RAWLTP8,2025-08-01 04:13:03,Short Range,8,30.83,Light rain
NHB250801042008.RAWLTPB,2025-08-01 04:20:08,Long Range,4,30.94,Light rain
NHB250801042304.RAWLTPF,2025-08-01 04:23:04,Short Range,8,30.92,Light rain
NHB250801043008.RAWLTPJ,2025-08-01 04:30:08,Long Range,4,31.89,Light rain
NHB250801043303.RAWLTPN,2025-08-01 04:33:03,Short Range,8,29.12,Clear
NHB250801044008.RAWLTPS,2025-08-01 04:40:08,Long Range,4,30.02,Light rain
NHB250801044304.RAWLTPW,2025-08-01 04:43:04,Short Range,8,30.43,Light rain
NHB250801045008.RAWLTPZ,2025-08-01 04:50:08,Long Range,4,29.82,Clear
NHB250801045303.RAWLTR3,2025-08-01 04:53:03,Short Range,8,29.27,Clear
NHB250801050008.RAWLTR6,2025-08-01 05:00:08,Long Range,4,28.51,Clear
NHB250801050303.RAWLTRA,2025-08-01 05:03:03,Short Range,8,29.65,Clear
NHB250801051007.RAWLTRD,2025-08-01 05:10:07,Long Range,4,28.99,Clear
NHB250801051303.RAWLTRH,2025-08-01 05:13:03,Short Range,8,29.97,Clear
NHB250801052008.RAWLTRL,2025-08-01 05:20:08,Long Range,4,31.52,Light rain
NHB250801052303.RAWLTRR,2025-08-01 05:23:03,Short Range,8,35.09,Light rain
NHB250801053008.RAWLTRU,2025-08-01 05:30:08,Long Range,4,31.61,Light rain
NHB250801053303.RAWLTRY,2025-08-01 05:33:03,Short Range,8,35.75,Light rain
