group_id,input_time,target_0h,target_0h_file,target_0h_mode,target_0h_diff_sec,target_1h,target_1h_file,target_1h_mode,target_1h_diff_sec,target_2h,target_2h_file,target_2h_mode,target_2h_diff_sec,target_3h,target_3h_file,target_3h_mode,target_3h_diff_sec
0,2025-08-01 00:00:07,2025-08-01 00:00:07,NHB250801000007.RAWLTHU,Long Range,0.0,2025-08-01 01:00:09,NHB250801010009.RAWLTK3,Long Range,2.0,2025-08-01 02:00:08,NHB250801020008.RAWLTLC,Long Range,1.0,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,Long Range,0.0
1,2025-08-01 00:20:08,2025-08-01 00:20:08,NHB250801002008.RAWLTJ8,Long Range,0.0,2025-08-01 01:20:08,NHB250801012008.RAWLTKH,Long Range,0.0,2025-08-01 02:20:07,NHB250801022007.RAWLTLT,Long Range,1.0,2025-08-01 03:20:08,NHB250801032008.RAWLTN2,Long Range,0.0
2,2025-08-01 00:40:07,2025-08-01 00:40:07,NHB250801004007.RAWLTJN,Long Range,0.0,2025-08-01 01:40:08,NHB250801014008.RAWLTKY,Long Range,1.0,2025-08-01 02:40:08,NHB250801024008.RAWLTM7,Long Range,1.0,2025-08-01 03:40:07,NHB250801034007.RAWLTNG,Long Range,0.0
3,2025-08-01 01:00:09,2025-08-01 01:00:09,NHB250801010009.RAWLTK3,Long Range,0.0,2025-08-01 02:00:08,NHB250801020008.RAWLTLC,Long Range,1.0,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,Long Range,2.0,2025-08-01 04:00:08,NHB250801040008.RAWLTNX,Long Range,1.0
4,2025-08-01 01:20:08,2025-08-01 01:20:08,NHB250801012008.RAWLTKH,Long Range,0.0,2025-08-01 02:20:07,NHB250801022007.RAWLTLT,Long Range,1.0,2025-08-01 03:20:08,NHB250801032008.RAWLTN2,Long Range,0.0,2025-08-01 04:20:08,NHB250801042008.RAWLTPB,Long Range,0.0
5,2025-08-01 01:40:08,2025-08-01 01:40:08,NHB250801014008.RAWLTKY,Long Range,0.0,2025-08-01 02:40:08,NHB250801024008.RAWLTM7,Long Range,0.0,2025-08-01 03:40:07,NHB250801034007.RAWLTNG,Long Range,1.0,2025-08-01 04:40:08,NHB250801044008.RAWLTPS,Long Range,0.0
6,2025-08-01 02:00:08,2025-08-01 02:00:08,NHB250801020008.RAWLTLC,Long Range,0.0,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,Long Range,1.0,2025-08-01 04:00:08,NHB250801040008.RAWLTNX,Long Range,0.0,2025-08-01 05:00:08,NHB250801050008.RAWLTR6,Long Range,0.0
7,2025-08-01 02:20:07,2025-08-01 02:20:07,NHB250801022007.RAWLTLT,Long Range,0.0,2025-08-01 03:20:08,NHB250801032008.RAWLTN2,Long Range,1.0,2025-08-01 04:20:08,NHB250801042008.RAWLTPB,Long Range,1.0,2025-08-01 05:20:08,NHB250801052008.RAWLTRL,Long Range,1.0
8,2025-08-01 02:40:08,2025-08-01 02:40:08,NHB250801024008.RAWLTM7,Long Range,0.0,2025-08-01 03:40:07,NHB250801034007.RAWLTNG,Long Range,1.0,2025-08-01 04:40:08,NHB250801044008.RAWLTPS,Long Range,0.0,2025-08-01 05:40:08,NHB250801054008.RAWLTS1,Long Range,0.0
9,2025-08-01 03:00:07,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,Long Range,0.0,2025-08-01 04:00:08,NHB250801040008.RAWLTNX,Long Range,1.0,2025-08-01 05:00:08,NHB250801050008.RAWLTR6,Long Range,1.0,2025-08-01 06:00:08,NHB250801060008.RAWLTSF,Long Range,1.0
10,2025-08-01 03:20:08,2025-08-01 03:20:08,NHB250801032008.RAWLTN2,Long Range,0.0,2025-08-01 04:20:08,NHB250801042008.RAWLTPB,Long Range,0.0,2025-08-01 05:20:08,NHB250801052008.RAWLTRL,Long Range,0.0,2025-08-01 06:20:08,NHB250801062008.RAWLTSW,Long Range,0.0
11,2025-08-01 03:40:07,2025-08-01 03:40:07,NHB250801034007.RAWLTNG,Long Range,0.0,2025-08-01 04:40:08,NHB250801044008.RAWLTPS,Long Range,1.0,2025-08-01 05:40:08,NHB250801054008.RAWLTS1,Long Range,1.0,2025-08-01 06:40:08,NHB250801064008.RAWLTTA,Long Range,1.0
12,2025-08-01 04:00:08,2025-08-01 04:00:08,NHB250801040008.RAWLTNX,Long Range,0.0,2025-08-01 05:00:08,NHB250801050008.RAWLTR6,Long Range,0.0,2025-08-01 06:00:08,NHB250801060008.RAWLTSF,Long Range,0.0,2025-08-01 07:00:08,NHB250801070008.RAWLTTR,Long Range,0.0
13,2025-08-01 04:20:08,2025-08-01 04:20:08,NHB250801042008.RAWLTPB,Long Range,0.0,2025-08-01 05:20:08,NHB250801052008.RAWLTRL,Long Range,0.0,2025-08-01 06:20:08,NHB250801062008.RAWLTSW,Long Range,0.0,2025-08-01 07:20:08,NHB250801072008.RAWLTU5,Long Range,0.0
14,2025-08-01 04:40:08,2025-08-01 04:40:08,NHB250801044008.RAWLTPS,Long Range,0.0,2025-08-01 05:40:08,NHB250801054008.RAWLTS1,Long Range,0.0,2025-08-01 06:40:08,NHB250801064008.RAWLTTA,Long Range,0.0,2025-08-01 07:40:08,NHB250801074008.RAWLTUK,Long Range,0.0
15,2025-08-01 05:00:08,2025-08-01 05:00:08,NHB250801050008.RAWLTR6,Long Range,0.0,2025-08-01 06:00:08,NHB250801060008.RAWLTSF,Long Range,0.0,2025-08-01 07:00:08,NHB250801070008.RAWLTTR,Long Range,0.0,2025-08-01 08:00:08,NHB250801080008.RAWLTV0,Long Range,0.0
16,2025-08-01 05:20:08,2025-08-01 05:20:08,NHB250801052008.RAWLTRL,Long Range,0.0,2025-08-01 06:20:08,NHB250801062008.RAWLTSW,Long Range,0.0,2025-08-01 07:20:08,NHB250801072008.RAWLTU5,Long Range,0.0,2025-08-01 08:20:07,NHB250801082007.RAWLTVE,Long Range,1.0
17,2025-08-01 05:40:08,2025-08-01 05:40:08,NHB250801054008.RAWLTS1,Long Range,0.0,2025-08-01 06:40:08,NHB250801064008.RAWLTTA,Long Range,0.0,2025-08-01 07:40:08,NHB250801074008.RAWLTUK,Long Range,0.0,2025-08-01 08:40:08,NHB250801084008.RAWLTVV,Long Range,0.0
18,2025-08-01 06:00:08,2025-08-01 06:00:08,NHB250801060008.RAWLTSF,Long Range,0.0,2025-08-01 07:00:08,NHB250801070008.RAWLTTR,Long Range,0.0,2025-08-01 08:00:08,NHB250801080008.RAWLTV0,Long Range,0.0,2025-08-01 09:00:07,NHB250801090007.RAWLTW9,Long Range,1.0
19,2025-08-01 06:20:08,2025-08-01 06:20:08,NHB250801062008.RAWLTSW,Long Range,0.0,2025-08-01 07:20:08,NHB250801072008.RAWLTU5,Long Range,0.0,2025-08-01 08:20:07,NHB250801082007.RAWLTVE,Long Range,1.0,2025-08-01 09:20:08,NHB250801092008.RAWLTWP,Long Range,0.0
20,2025-08-01 06:40:08,2025-08-01 06:40:08,NHB250801064008.RAWLTTA,Long Range,0.0,2025-08-01 07:40:08,NHB250801074008.RAWLTUK,Long Range,0.0,2025-08-01 08:40:08,NHB250801084008.RAWLTVV,Long Range,0.0,2025-08-01 09:40:07,NHB250801094007.RAWLTX4,Long Range,1.0
21,2025-08-01 07:00:08,2025-08-01 07:00:08,NHB250801070008.RAWLTTR,Long Range,0.0,2025-08-01 08:00:08,NHB250801080008.RAWLTV0,Long Range,0.0,2025-08-01 09:00:07,NHB250801090007.RAWLTW9,Long Range,1.0,2025-08-01 10:00:08,NHB250801100008.RAWLTXJ,Long Range,0.0
22,2025-08-01 07:20:08,2025-08-01 07:20:08,NHB250801072008.RAWLTU5,Long Range,0.0,2025-08-01 08:20:07,NHB250801082007.RAWLTVE,Long Range,1.0,2025-08-01 09:20:08,NHB250801092008.RAWLTWP,Long Range,0.0,2025-08-01 10:20:08,NHB250801102008.RAWLTXZ,Long Range,0.0
23,2025-08-01 07:40:08,2025-08-01 07:40:08,NHB250801074008.RAWLTUK,Long Range,0.0,2025-08-01 08:40:08,NHB250801084008.RAWLTVV,Long Range,0.0,2025-08-01 09:40:07,NHB250801094007.RAWLTX4,Long Range,1.0,2025-08-01 10:40:08,NHB250801104008.RAWLTYD,Long Range,0.0
24,2025-08-01 08:00:08,2025-08-01 08:00:08,NHB250801080008.RAWLTV0,Long Range,0.0,2025-08-01 09:00:07,NHB250801090007.RAWLTW9,Long Range,1.0,2025-08-01 10:00:08,NHB250801100008.RAWLTXJ,Long Range,0.0,2025-08-01 11:00:08,NHB250801110008.RAWLTYU,Long Range,0.0
25,2025-08-01 08:20:07,2025-08-01 08:20:07,NHB250801082007.RAWLTVE,Long Range,0.0,2025-08-01 09:20:08,NHB250801092008.RAWLTWP,Long Range,1.0,2025-08-01 10:20:08,NHB250801102008.RAWLTXZ,Long Range,1.0,2025-08-01 11:20:08,NHB250801112008.RAWLTZ8,Long Range,1.0
26,2025-08-01 08:40:08,2025-08-01 08:40:08,NHB250801084008.RAWLTVV,Long Range,0.0,2025-08-01 09:40:07,NHB250801094007.RAWLTX4,Long Range,1.0,2025-08-01 10:40:08,NHB250801104008.RAWLTYD,Long Range,0.0,2025-08-01 11:40:09,NHB250801114009.RAWLTZN,Long Range,1.0
27,2025-08-01 09:00:07,2025-08-01 09:00:07,NHB250801090007.RAWLTW9,Long Range,0.0,2025-08-01 10:00:08,NHB250801100008.RAWLTXJ,Long Range,1.0,2025-08-01 11:00:08,NHB250801110008.RAWLTYU,Long Range,1.0,2025-08-01 12:00:07,NHB250801120007.RAWLU03,Long Range,0.0
