group_id,input_time,input_file_t0,input_file_t3,input_file_t10,input_file_t13,target_0h_expected,target_0h_actual,target_0h_file,target_0h_mode,target_0h_diff_sec,target_1h_expected,target_1h_actual,target_1h_file,target_1h_mode,target_1h_diff_sec,target_2h_expected,target_2h_actual,target_2h_file,target_2h_mode,target_2h_diff_sec,target_3h_expected,target_3h_actual,target_3h_file,target_3h_mode,target_3h_diff_sec
0,2025-08-01 00:00:07,NHB250801000007.RAWLTHU,NHB250801000303.RAWLTHY,NHB250801001007.RAWLTJ1,NHB250801001304.RAWLTJ5,2025-08-01 00:00:07,2025-08-01 00:00:07,NHB250801000007.RAWLTHU,Long Range,0.0,2025-08-01 01:00:07,2025-08-01 01:00:09,NHB250801010009.RAWLTK3,Long Range,2.0,2025-08-01 02:00:07,2025-08-01 02:00:08,NHB250801020008.RAWLTLC,Long Range,1.0,2025-08-01 03:00:07,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,Long Range,0.0
1,2025-08-01 00:20:08,NHB250801002008.RAWLTJ8,NHB250801002303.RAWLTJC,NHB250801003008.RAWLTJF,NHB250801003305.RAWLTJK,2025-08-01 00:20:08,2025-08-01 00:20:08,NHB250801002008.RAWLTJ8,Long Range,0.0,2025-08-01 01:20:08,2025-08-01 01:20:08,NHB250801012008.RAWLTKH,Long Range,0.0,2025-08-01 02:20:08,2025-08-01 02:20:07,NHB250801022007.RAWLTLT,Long Range,1.0,2025-08-01 03:20:08,2025-08-01 03:20:08,NHB250801032008.RAWLTN2,Long Range,0.0
2,2025-08-01 00:40:07,NHB250801004007.RAWLTJN,NHB250801004304.RAWLTJT,NHB250801005007.RAWLTJW,NHB250801005305.RAWLTK0,2025-08-01 00:40:07,2025-08-01 00:40:07,NHB250801004007.RAWLTJN,Long Range,0.0,2025-08-01 01:40:07,2025-08-01 01:40:08,NHB250801014008.RAWLTKY,Long Range,1.0,2025-08-01 02:40:07,2025-08-01 02:40:08,NHB250801024008.RAWLTM7,Long Range,1.0,2025-08-01 03:40:07,2025-08-01 03:40:07,NHB250801034007.RAWLTNG,Long Range,0.0
3,2025-08-01 01:00:09,NHB250801010009.RAWLTK3,NHB250801010304.RAWLTK7,NHB250801011008.RAWLTKA,NHB250801011304.RAWLTKE,2025-08-01 01:00:09,2025-08-01 01:00:09,NHB250801010009.RAWLTK3,Long Range,0.0,2025-08-01 02:00:09,2025-08-01 02:00:08,NHB250801020008.RAWLTLC,Long Range,1.0,2025-08-01 03:00:09,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,Long Range,2.0,2025-08-01 04:00:09,2025-08-01 04:00:08,NHB250801040008.RAWLTNX,Long Range,1.0
4,2025-08-01 01:20:08,NHB250801012008.RAWLTKH,NHB250801012304.RAWLTKM,NHB250801013008.RAWLTKR,NHB250801013304.RAWLTKV,2025-08-01 01:20:08,2025-08-01 01:20:08,NHB250801012008.RAWLTKH,Long Range,0.0,2025-08-01 02:20:08,2025-08-01 02:20:07,NHB250801022007.RAWLTLT,Long Range,1.0,2025-08-01 03:20:08,2025-08-01 03:20:08,NHB250801032008.RAWLTN2,Long Range,0.0,2025-08-01 04:20:08,2025-08-01 04:20:08,NHB250801042008.RAWLTPB,Long Range,0.0
5,2025-08-01 01:40:08,NHB250801014008.RAWLTKY,NHB250801014305.RAWLTL2,NHB250801015008.RAWLTL5,NHB250801015303.RAWLTL9,2025-08-01 01:40:08,2025-08-01 01:40:08,NHB250801014008.RAWLTKY,Long Range,0.0,2025-08-01 02:40:08,2025-08-01 02:40:08,NHB250801024008.RAWLTM7,Long Range,0.0,2025-08-01 03:40:08,2025-08-01 03:40:07,NHB250801034007.RAWLTNG,Long Range,1.0,2025-08-01 04:40:08,2025-08-01 04:40:08,NHB250801044008.RAWLTPS,Long Range,0.0
6,2025-08-01 02:00:08,NHB250801020008.RAWLTLC,NHB250801020304.RAWLTLG,NHB250801021008.RAWLTLK,NHB250801021304.RAWLTLP,2025-08-01 02:00:08,2025-08-01 02:00:08,NHB250801020008.RAWLTLC,Long Range,0.0,2025-08-01 03:00:08,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,Long Range,1.0,2025-08-01 04:00:08,2025-08-01 04:00:08,NHB250801040008.RAWLTNX,Long Range,0.0,2025-08-01 05:00:08,2025-08-01 05:00:08,NHB250801050008.RAWLTR6,Long Range,0.0
7,2025-08-01 02:20:07,NHB250801022007.RAWLTLT,NHB250801022304.RAWLTLX,NHB250801023009.RAWLTM0,NHB250801023303.RAWLTM4,2025-08-01 02:20:07,2025-08-01 02:20:07,NHB250801022007.RAWLTLT,Long Range,0.0,2025-08-01 03:20:07,2025-08-01 03:20:08,NHB250801032008.RAWLTN2,Long Range,1.0,2025-08-01 04:20:07,2025-08-01 04:20:08,NHB250801042008.RAWLTPB,Long Range,1.0,2025-08-01 05:20:07,2025-08-01 05:20:08,NHB250801052008.RAWLTRL,Long Range,1.0
8,2025-08-01 02:40:08,NHB250801024008.RAWLTM7,NHB250801024303.RAWLTMB,NHB250801025008.RAWLTME,NHB250801025304.RAWLTMJ,2025-08-01 02:40:08,2025-08-01 02:40:08,NHB250801024008.RAWLTM7,Long Range,0.0,2025-08-01 03:40:08,2025-08-01 03:40:07,NHB250801034007.RAWLTNG,Long Range,1.0,2025-08-01 04:40:08,2025-08-01 04:40:08,NHB250801044008.RAWLTPS,Long Range,0.0,2025-08-01 05:40:08,2025-08-01 05:40:08,NHB250801054008.RAWLTS1,Long Range,0.0
9,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,NHB250801030304.RAWLTMS,NHB250801031008.RAWLTMV,NHB250801031303.RAWLTMZ,2025-08-01 03:00:07,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,Long Range,0.0,2025-08-01 04:00:07,2025-08-01 04:00:08,NHB250801040008.RAWLTNX,Long Range,1.0,2025-08-01 05:00:07,2025-08-01 05:00:08,NHB250801050008.RAWLTR6,Long Range,1.0,2025-08-01 06:00:07,2025-08-01 06:00:08,NHB250801060008.RAWLTSF,Long Range,1.0
