group_id,t0,file_t0,t3,file_t3,t10,file_t10,t13,file_t13
0,2025-08-01 00:00:07,NHB250801000007.RAWLTHU,2025-08-01 00:03:03,NHB250801000303.RAWLTHY,2025-08-01 00:10:07,NHB250801001007.RAWLTJ1,2025-08-01 00:13:04,NHB250801001304.RAWLTJ5
1,2025-08-01 00:20:08,NHB250801002008.RAWLTJ8,2025-08-01 00:23:03,NHB250801002303.RAWLTJC,2025-08-01 00:30:08,NHB250801003008.RAWLTJF,2025-08-01 00:33:05,NHB250801003305.RAWLTJK
2,2025-08-01 00:40:07,NHB250801004007.RAWLTJN,2025-08-01 00:43:04,NHB250801004304.RAWLTJT,2025-08-01 00:50:07,NHB250801005007.RAWLTJW,2025-08-01 00:53:05,NHB250801005305.RAWLTK0
3,2025-08-01 01:00:09,NHB250801010009.RAWLTK3,2025-08-01 01:03:04,NHB250801010304.RAWLTK7,2025-08-01 01:10:08,NHB250801011008.RAWLTKA,2025-08-01 01:13:04,NHB250801011304.RAWLTKE
4,2025-08-01 01:20:08,NHB250801012008.RAWLTKH,2025-08-01 01:23:04,NHB250801012304.RAWLTKM,2025-08-01 01:30:08,NHB250801013008.RAWLTKR,2025-08-01 01:33:04,NHB250801013304.RAWLTKV
5,2025-08-01 01:40:08,NHB250801014008.RAWLTKY,2025-08-01 01:43:05,NHB250801014305.RAWLTL2,2025-08-01 01:50:08,NHB250801015008.RAWLTL5,2025-08-01 01:53:03,NHB250801015303.RAWLTL9
6,2025-08-01 02:00:08,NHB250801020008.RAWLTLC,2025-08-01 02:03:04,NHB250801020304.RAWLTLG,2025-08-01 02:10:08,NHB250801021008.RAWLTLK,2025-08-01 02:13:04,NHB250801021304.RAWLTLP
7,2025-08-01 02:20:07,NHB250801022007.RAWLTLT,2025-08-01 02:23:04,NHB250801022304.RAWLTLX,2025-08-01 02:30:09,NHB250801023009.RAWLTM0,2025-08-01 02:33:03,NHB250801023303.RAWLTM4
8,2025-08-01 02:40:08,NHB250801024008.RAWLTM7,2025-08-01 02:43:03,NHB250801024303.RAWLTMB,2025-08-01 02:50:08,NHB250801025008.RAWLTME,2025-08-01 02:53:04,NHB250801025304.RAWLTMJ
9,2025-08-01 03:00:07,NHB250801030007.RAWLTMM,2025-08-01 03:03:04,NHB250801030304.RAWLTMS,2025-08-01 03:10:08,NHB250801031008.RAWLTMV,2025-08-01 03:13:03,NHB250801031303.RAWLTMZ
10,2025-08-01 03:20:08,NHB250801032008.RAWLTN2,2025-08-01 03:23:03,NHB250801032303.RAWLTN6,2025-08-01 03:30:08,NHB250801033008.RAWLTN9,2025-08-01 03:33:04,NHB250801033304.RAWLTND
11,2025-08-01 03:40:07,NHB250801034007.RAWLTNG,2025-08-01 03:43:03,NHB250801034303.RAWLTNL,2025-08-01 03:50:07,NHB250801035007.RAWLTNP,2025-08-01 03:53:05,NHB250801035305.RAWLTNU
12,2025-08-01 04:00:08,NHB250801040008.RAWLTNX,2025-08-01 04:03:04,NHB250801040304.RAWLTP1,2025-08-01 04:10:07,NHB250801041007.RAWLTP4,2025-08-01 04:13:03,NHB250801041303.RAWLTP8
13,2025-08-01 04:20:08,NHB250801042008.RAWLTPB,2025-08-01 04:23:04,NHB250801042304.RAWLTPF,2025-08-01 04:30:08,NHB250801043008.RAWLTPJ,2025-08-01 04:33:03,NHB250801043303.RAWLTPN
14,2025-08-01 04:40:08,NHB250801044008.RAWLTPS,2025-08-01 04:43:04,NHB250801044304.RAWLTPW,2025-08-01 04:50:08,NHB250801045008.RAWLTPZ,2025-08-01 04:53:03,NHB250801045303.RAWLTR3
15,2025-08-01 05:00:08,NHB250801050008.RAWLTR6,2025-08-01 05:03:03,NHB250801050303.RAWLTRA,2025-08-01 05:10:07,NHB250801051007.RAWLTRD,2025-08-01 05:13:03,NHB250801051303.RAWLTRH
16,2025-08-01 05:20:08,NHB250801052008.RAWLTRL,2025-08-01 05:23:03,NHB250801052303.RAWLTRR,2025-08-01 05:30:08,NHB250801053008.RAWLTRU,2025-08-01 05:33:03,NHB250801053303.RAWLTRY
17,2025-08-01 05:40:08,NHB250801054008.RAWLTS1,2025-08-01 05:43:03,NHB250801054303.RAWLTS5,2025-08-01 05:50:08,NHB250801055008.RAWLTS8,2025-08-01 05:53:03,NHB250801055303.RAWLTSC
18,2025-08-01 06:00:08,NHB250801060008.RAWLTSF,2025-08-01 06:03:03,NHB250801060303.RAWLTSK,2025-08-01 06:10:08,NHB250801061008.RAWLTSN,2025-08-01 06:13:03,NHB250801061303.RAWLTST
19,2025-08-01 06:20:08,NHB250801062008.RAWLTSW,2025-08-01 06:23:03,NHB250801062303.RAWLTT0,2025-08-01 06:30:07,NHB250801063007.RAWLTT3,2025-08-01 06:33:04,NHB250801063304.RAWLTT7
20,2025-08-01 06:40:08,NHB250801064008.RAWLTTA,2025-08-01 06:43:03,NHB250801064303.RAWLTTE,2025-08-01 06:50:08,NHB250801065008.RAWLTTH,2025-08-01 06:53:03,NHB250801065303.RAWLTTM
21,2025-08-01 07:00:08,NHB250801070008.RAWLTTR,2025-08-01 07:03:04,NHB250801070304.RAWLTTV,2025-08-01 07:10:07,NHB250801071007.RAWLTTY,2025-08-01 07:13:03,NHB250801071303.RAWLTU2
22,2025-08-01 07:20:08,NHB250801072008.RAWLTU5,2025-08-01 07:23:03,NHB250801072303.RAWLTU9,2025-08-01 07:30:08,NHB250801073008.RAWLTUC,2025-08-01 07:33:03,NHB250801073303.RAWLTUG
23,2025-08-01 07:40:08,NHB250801074008.RAWLTUK,2025-08-01 07:43:04,NHB250801074304.RAWLTUP,2025-08-01 07:50:08,NHB250801075008.RAWLTUT,2025-08-01 07:53:04,NHB250801075304.RAWLTUX
